step,method,race,yacht,rmse_m
3,Линейная,ottawa-2016-05-25,0,5.509198521645233
3,Линейная,ottawa-2016-06-05,0,4.611170289812809
3,Линейная,ottawa-2016-08-24,0,4.7702239094515875
3,Лагранж,2025-09-28_10-31,2025-09-28_10:31,790.4078954200901
3,Лагранж,2025-10-04_10-17,2025-10-04_10:17,17.380730395882622
3,Лагранж,2025-10-05_10-20,2025-10-05_10:20,384.23674915827013
3,Лагранж,2025-10-12_10-46,2025-10-12_10:46,5.800068156968929
3,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.4498280718395733
3,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,1.2494157013118339
3,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,2.6419743263376194
3,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,4.7032855711193955
3,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,2.2336848042148696
3,Лагранж,ottawa-2016-05-25,0,7.619645650599093
3,Лагранж,ottawa-2016-06-05,0,181.50902567946966
3,Лагранж,ottawa-2016-08-24,0,5.722435236825992
3,Кубический сплайн,2025-09-28_10-31,2025-09-28_10:31,7.094979571173153
3,Кубический сплайн,2025-10-04_10-17,2025-10-04_10:17,6.464772733367794
3,Кубический сплайн,2025-10-05_10-20,2025-10-05_10:20,5.685501207084491
3,Кубический сплайн,2025-10-12_10-46,2025-10-12_10:46,5.553682594884618
3,Кубический сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.203687809214989
3,Кубический сплайн,hamburg-elbe-alex,Hamburg_Segeln,1.063619760821512
3,Кубический сплайн,hamburg-elbe-richard,Hamburg_Segeln,1.4965875484170177
3,Кубический сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.7027073871491467
3,Кубический сплайн,hamburg-elbe-track3,Hamburg_Segeln,1.0477396595812836
3,Кубический сплайн,ottawa-2016-05-25,0,4.289307974035097
3,Кубический сплайн,ottawa-2016-06-05,0,3.4265355844512646
3,Кубический сплайн,ottawa-2016-08-24,0,4.007618013670891
3,B-сплайн,2025-09-28_10-31,2025-09-28_10:31,7.09988226960696
3,B-сплайн,2025-10-04_10-17,2025-10-04_10:17,6.464866534645704
3,B-сплайн,2025-10-05_10-20,2025-10-05_10:20,5.685491884403988
3,B-сплайн,2025-10-12_10-46,2025-10-12_10:46,5.5559856066325395
3,B-сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.202968571289007
3,B-сплайн,hamburg-elbe-alex,Hamburg_Segeln,1.0638285642240528
3,B-сплайн,hamburg-elbe-richard,Hamburg_Segeln,1.5282310905544754
3,B-сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.807470228412622
3,B-сплайн,hamburg-elbe-track3,Hamburg_Segeln,1.0525440660293988
3,B-сплайн,ottawa-2016-05-25,0,4.310708155068438
3,B-сплайн,ottawa-2016-06-05,0,3.4265933585886663
3,B-сплайн,ottawa-2016-08-24,0,4.009076999255669
3,Motion-aware,2025-09-28_10-31,2025-09-28_10:31,7.726630843444498
3,Motion-aware,2025-10-04_10-17,2025-10-04_10:17,6.810307615333502
3,Motion-aware,2025-10-05_10-20,2025-10-05_10:20,5.880042568309222
3,Motion-aware,2025-10-12_10-46,2025-10-12_10:46,5.843804584870371
3,Motion-aware,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.1819597602099556
3,Motion-aware,hamburg-elbe-alex,Hamburg_Segeln,1.0955269089759638
3,Motion-aware,hamburg-elbe-richard,Hamburg_Segeln,1.4327984683647896
3,Motion-aware,hamburg-elbe-track2,Hamburg_Sailing,1.7273913932489104
3,Motion-aware,hamburg-elbe-track3,Hamburg_Segeln,0.971946957985378
3,Motion-aware,ottawa-2016-05-25,0,4.128478842223467
3,Motion-aware,ottawa-2016-06-05,0,3.660833378477005
3,Motion-aware,ottawa-2016-08-24,0,3.7671237500353274
5,Линейная,2025-09-28_10-31,2025-09-28_10:31,17.544354963414296
5,Линейная,2025-10-04_10-17,2025-10-04_10:17,15.964118210392797
5,Линейная,2025-10-05_10-20,2025-10-05_10:20,13.953618221615331
5,Линейная,2025-10-12_10-46,2025-10-12_10:46,15.232028595754842
5,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,2.3175481206078814
5,Линейная,hamburg-elbe-alex,Hamburg_Segeln,2.3118351796639103
5,Линейная,hamburg-elbe-richard,Hamburg_Segeln,3.0787106317048423
5,Линейная,hamburg-elbe-track2,Hamburg_Sailing,4.627630048720072
5,Линейная,hamburg-elbe-track3,Hamburg_Segeln,2.198378685376745
