Метод,"RMSE, м",Стандартное отклонение,"Время, мкс/точка"
Линейная,9.005649899922858,5.893854988966592,0.23814562517145532
Лагранж,2744.490726046522,6530.541765276762,59.989640105250146
Кубический сплайн,9.509181260803334,9.058859665455198,26.670487619794585
B-сплайн,9.536815907131684,9.071533866173803,2.366866009597288
Эрмит,7.225809420029821,4.621549439665071,1.5007210144722194
