Метод,"RMSE, м",Стандартное отклонение
Линейная,9.005649899922858,5.893854988966592
Лагранж,2744.490726046522,6530.541765276762
Кубический сплайн,9.509181260803334,9.058859665455198
B-сплайн,9.536815907131684,9.071533866173803
Эрмит,7.2258094200298215,4.6215494396650705
